[python_calc] | 2020-03-03 10:47:56,401 | DEBUG | > На запись ушло 0.013002
[python_calc] | 2020-03-03 10:47:57,653 | DEBUG | > На расчёт 207 переменных ушло 0.011999
[python_calc] | 2020-03-03 10:47:57,664 | DEBUG | > На запись ушло 0.010001
[python_calc] | 2020-03-03 10:47:58,492 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:58,503 | DEBUG | > На запись ушло 0.011002999999999999
[python_calc] | 2020-03-03 10:47:59,760 | DEBUG | > На расчёт 207 переменных ушло 0.013018
[python_calc] | 2020-03-03 10:47:59,773 | DEBUG | > На запись ушло 0.012986
[python_calc] | 2020-03-03 10:48:00,597 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:48:00,610 | DEBUG | > На запись ушло 0.013002
[python_calc] | 2020-03-03 10:48:01,442 | DEBUG | > На расчёт 207 переменных ушло 0.014001999999999999
[python_calc] | 2020-03-03 10:48:01,454 | DEBUG | > На запись ушло 0.012001999999999999
[python_calc] | 2020-03-03 10:48:02,714 | DEBUG | > На расчёт 207 переменных ушло 0.013002999999999999
[python_calc] | 2020-03-03 10:48:02,725 | DEBUG | > На запись ушло 0.01099
[python_calc] | 2020-03-03 10:48:03,550 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:48:03,562 | DEBUG | > На расчёт 207 переменных ушло 0.013006
[python_calc] | 2020-03-03 10:48:03,574 | DEBUG | > На запись ушло 0.010983999999999999
[python_calc] | 2020-03-03 10:48:04,798 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:48:04,811 | DEBUG | > На расчёт 207 переменных ушло 0.013018
[python_calc] | 2020-03-03 10:48:04,827 | DEBUG | > На запись ушло 0.014981999999999999
[python_calc] | 2020-03-03 10:48:05,661 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:48:05,674 | DEBUG | > На запись ушло 0.012001999999999999
[python_calc] | 2020-03-03 10:48:06,512 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:48:06,524 | DEBUG | > На запись ушло 0.011001
[python_calc] | 2020-03-03 10:48:07,740 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:48:07,753 | DEBUG | > На расчёт 207 переменных ушло 0.014001999999999999
[python_calc] | 2020-03-03 10:48:07,768 | DEBUG | > На запись ушло 0.015000999999999999
[python_calc] | 2020-03-03 10:48:08,603 | DEBUG | > На расчёт 207 переменных ушло 0.013019
[python_calc] | 2020-03-03 10:48:08,617 | DEBUG | > На запись ушло 0.013987999999999999
